sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,selection_f1,selection_accuracy,fold,train_time,best_alpha,best_lambda_ridge,sign_accuracy,best_gamma,cv_score
0.5,2.0,0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.4254075094379715,0.9956304641861632,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0.975609756097561,0.998,0,2.0255625247955322,0.0819181393658102,10.0,1.0,,
0.5,2.0,1,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.399389489056217,0.9949532735928097,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,2.02420711517334,0.08168958516400243,1.0,1.0,,
0.5,2.0,2,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.6986098228748984,0.9896416520463153,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0.9090909090909091,0.992,0,2.047456741333008,0.16818763559283814,0.1,1.0,,
0.5,2.0,3,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.42370424632355425,0.9948440307708477,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0.9523809523809523,0.996,0,1.9102873802185059,0.044196862562601684,10.0,1.0,,
0.5,2.0,4,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.4362403341251196,0.9928678420882779,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,1.9119958877563477,0.10041858855956606,0.1,1.0,,
0.5,2.0,5,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.4562696169453065,0.994770327629324,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0.9523809523809523,0.996,0,1.7864625453948975,0.06945872867078334,10.0,1.0,,
0.5,2.0,6,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.3308707762396915,0.9952600727958142,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,1.7232482433319092,0.05194706507851313,10.0,1.0,,
0.5,2.0,7,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.43256371490967277,0.9927103846365694,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0.9090909090909091,0.992,0,1.5804531574249268,0.0717207020638883,10.0,1.0,,
0.5,2.0,8,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.5298098454216983,0.9919318594067388,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0.975609756097561,0.998,0,2.537594795227051,0.11868483645405477,10.0,1.0,,
0.5,2.0,9,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.34230573328909064,0.9955453975454437,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0.9302325581395349,0.994,0,2.4913575649261475,0.08256611178941263,10.0,1.0,,
